header,title,published,summary,link,id,com_or_sub
Engpässe auf Intensivstationen,Luzerner Spitäler rechnen schon im Januar mit Triage-Fällen,2021-12-28 11:40:00+00:00,Die Spital-Verantwortlichen im Kanton Luzern rechnen schon bald mit Engpässen auf den Intensiv … station keine Plätze mehr gibt?&nbsp;Der Kanton Luzern hat heute als erste Region der Schweiz …,https://www.srf.ch/news/schweiz/engpaesse-auf-intensivstationen-luzerner-spitaeler-rechnen-schon-im-januar-mit-triage-faellen,https://www.srf.ch/news/schweiz/engpaesse-auf-intensivstationen-luzerner-spitaeler-rechnen-schon-im-januar-mit-triage-faellen,sub
Nachfolger von Celestini,Frick verlässt Vaduz und übernimmt Trainerposten in Luzern,2021-12-21 15:22:00+00:00,Der neue Trainer des FC Luzern heisst Mario Frick. Der Liechtensteiner folgt bei den Inner … Mario Frick ist wie erwartet der neue Trainer des FC Luzern. Der bis anhin beim …,https://www.srf.ch/sport/fussball/super-league/nachfolger-von-celestini-frick-verlaesst-vaduz-und-uebernimmt-trainerposten-in-luzern,https://www.srf.ch/sport/fussball/super-league/nachfolger-von-celestini-frick-verlaesst-vaduz-und-uebernimmt-trainerposten-in-luzern,sub
Täter sind flüchtig,Bankomaten-Sprengung legte Bahnhof Luzern lahm,2021-12-21 06:48:00+00:00,Die Sprengung eines Bankomaten hat am frühen Dienstagmorgen den Bahnhof Luzern lahmgelegt. Die …,https://www.srf.ch/news/schweiz/taeter-sind-fluechtig-bankomaten-sprengung-legte-bahnhof-luzern-lahm,https://www.srf.ch/news/schweiz/taeter-sind-fluechtig-bankomaten-sprengung-legte-bahnhof-luzern-lahm,sub
0:2-Niederlage gegen Servette,Harmloses Luzern überwintert auf dem Abstiegsplatz,2021-12-18 22:25:00+00:00,Der FC Luzern verabschiedet sich mit einer 0:2-Heimniederlage gegen Servette in … Mit einem guten Gefühl wollte sich Luzern aus einer miserablen Vorrunde verabschieden. Dieses Ziel haben …,https://www.srf.ch/sport/fussball/super-league/0-2-niederlage-gegen-servette-harmloses-luzern-ueberwintert-auf-dem-abstiegsplatz,https://www.srf.ch/sport/fussball/super-league/0-2-niederlage-gegen-servette-harmloses-luzern-ueberwintert-auf-dem-abstiegsplatz,sub
Vor Heimspiel gegen Servette,Kriselndes Luzern will «noch einen raushauen»,2021-12-18 08:26:00+00:00,… Schürpf treffend die (bisherige) Vorrunde des FC Luzern. Die Innerschweizer stecken im Tabellenkeller … Das Spiel der 18. SL-Runde zwischen Luzern und Servette zeigen wir am Samstag …,https://www.srf.ch/sport/fussball/super-league/vor-heimspiel-gegen-servette-kriselndes-luzern-will-noch-einen-raushauen,https://www.srf.ch/sport/fussball/super-league/vor-heimspiel-gegen-servette-kriselndes-luzern-will-noch-einen-raushauen,sub
Gleiche Toilette für alle,Stadt Luzern macht sich stark für Unisex-Toiletten an Schulen,2021-12-17 13:29:00+00:00,"An den Schulen der Stadt Luzern soll es künftig Unisex-Toiletten und - … haben Unisex-Toiletten, die Hochschule Luzern und auch das Hallenbad auf der Allmend.»",https://www.srf.ch/news/schweiz/gleiche-toilette-fuer-alle-stadt-luzern-macht-sich-stark-fuer-unisex-toiletten-an-schulen,https://www.srf.ch/news/schweiz/gleiche-toilette-fuer-alle-stadt-luzern-macht-sich-stark-fuer-unisex-toiletten-an-schulen,sub
News aus der Super League,Luzern löst Vertrag mit Badstuber auf,2021-12-16 18:39:00+00:00,Der FC Luzern und Verteidiger Holger Badstuber gehen getrennte Wege. Die Innerschweizer haben den …,https://www.srf.ch/sport/fussball/super-league/news-aus-der-super-league-luzern-loest-vertrag-mit-badstuber-auf,https://www.srf.ch/sport/fussball/super-league/news-aus-der-super-league-luzern-loest-vertrag-mit-badstuber-auf,sub
Luzerner Gerichte,Wechselnde Coronamassnahmen fordern Gerichte heraus,2021-12-14 19:57:00+00:00,Maskenpflicht im öffentlichen Verkehr oder im Einkaufszentrum verweigert. Bei der Luzerner Staatsanwaltschaft gin … die die Beurteilung aufwändig machen. Im Kanton Luzern sind 2021 bis Ende November 60 Fälle …,https://www.srf.ch/news/schweiz/luzerner-gerichte-wechselnde-coronamassnahmen-fordern-gerichte-heraus,https://www.srf.ch/news/schweiz/luzerner-gerichte-wechselnde-coronamassnahmen-fordern-gerichte-heraus,sub
Bob Ross in Luzern,Die entspannte TV-Malerei von Bob Ross schafft es ins Museum,2021-12-06 17:08:00+00:00,In einer Luzerner Privatwohnung werden Bilder des US-Fernsehmalers Bob Ross gezeigt. Annäherung an ein Phänomen.,https://www.srf.ch/kultur/kunst/bob-ross-in-luzern-die-entspannte-tv-malerei-von-bob-ross-schafft-es-ins-museum,https://www.srf.ch/kultur/kunst/bob-ross-in-luzern-die-entspannte-tv-malerei-von-bob-ross-schafft-es-ins-museum,sub
header,title,published,summary,link,id,com_or_sub
4:0-Heimsieg gegen Servette,Luzern mindestens in der Barrage und nur noch 3 Punkte hinter GC,2022-05-08 18:35:00+00:00,"Luzern gewinnt in der 33. SL-Runde gegen Servette zu Hause verdient, aber zu … Zehn Minuten vor dem Ende, als Luzern mit einem 2:0 im Rücken und einem …",https://www.srf.ch/sport/fussball/super-league/4-0-heimsieg-gegen-servette-luzern-mindestens-in-der-barrage-und-nur-noch-3-punkte-hinter-gc,https://www.srf.ch/sport/fussball/super-league/4-0-heimsieg-gegen-servette-luzern-mindestens-in-der-barrage-und-nur-noch-3-punkte-hinter-gc,sub
3:0-Heimsieg gegen Lausanne,Luzern feiert wichtigen Erfolg im Abstiegskampf,2022-05-01 18:40:00+00:00,"Der FC Luzern feiert im Kellerduell der 32. Runde der Super League gegen Laus … Der FC Luzern wahrt die Chancen, den Barrage-Platz in den letzten vier Runden …",https://www.srf.ch/sport/fussball/super-league/3-0-heimsieg-gegen-lausanne-luzern-feiert-wichtigen-erfolg-im-abstiegskampf,https://www.srf.ch/sport/fussball/super-league/3-0-heimsieg-gegen-lausanne-luzern-feiert-wichtigen-erfolg-im-abstiegskampf,sub
Abstimmung Stadt Luzern,Braucht Luzern mehr zusammenhängende Velorouten?,2022-04-26 16:39:00+00:00,"… unsichere Stellen für Velofahrende in der Stadt Luzern. «Wenn Schülerinnen und Schüler vom Maihof … Eine richtige Velostadt sei Luzern nicht. Noch nicht, wenn es nach der Interessenorganisation geht …",https://www.srf.ch/news/abstimmungen-15-mai-2022/abstimmung-stadt-luzern-braucht-luzern-mehr-zusammenhaengende-velorouten,https://www.srf.ch/news/abstimmungen-15-mai-2022/abstimmung-stadt-luzern-braucht-luzern-mehr-zusammenhaengende-velorouten,sub
Mitten in den Playoffs,Perkovac bei Kriens-Luzern per sofort freigestellt,2022-04-26 14:45:00+00:00,"Kriens-Luzern trennt sich per sofort und nicht wie im März angekündigt zum Saison … Schmid, seine Rückkehr zum HC Kriens-Luzern auf die Saison 2022/23 bekanntgegeben …",https://www.srf.ch/sport/mehr-sport/handball/mitten-in-den-playoffs-perkovac-bei-kriens-luzern-per-sofort-freigestellt,https://www.srf.ch/sport/mehr-sport/handball/mitten-in-den-playoffs-perkovac-bei-kriens-luzern-per-sofort-freigestellt,sub
Basel schlägt Luzern mit 3:0,Spielverderber Stocker: FCZ-Meisterparty muss noch warten,2022-04-24 18:37:00+00:00,Basel schlägt Luzern in der 31. Runde der Super League zuhause mit 3:0. Damit … Die Zürcher Meisterparty muss noch mindestens eine Woche warten. Weil Basel zuhause gegen Luzern …,https://www.srf.ch/sport/fussball/super-league/basel-schlaegt-luzern-mit-3-0-spielverderber-stocker-fcz-meisterparty-muss-noch-warten,https://www.srf.ch/sport/fussball/super-league/basel-schlaegt-luzern-mit-3-0-spielverderber-stocker-fcz-meisterparty-muss-noch-warten,sub
Basel empfängt Luzern,Remis-Könige wollen nicht wieder ihrem Lieblingsresultat frönen,2022-04-24 09:48:00+00:00,"… zwar die Meisterfeier des FCZ vertagen. Doch Basel will mehr und Luzern braucht mehr. Am anderen Tabellenende muss auch bei Luzern ein Vollerfolg her, um vom Barrageplatz …",https://www.srf.ch/sport/fussball/super-league/basel-empfaengt-luzern-remis-koenige-wollen-nicht-wieder-ihrem-lieblingsresultat-froenen,https://www.srf.ch/sport/fussball/super-league/basel-empfaengt-luzern-remis-koenige-wollen-nicht-wieder-ihrem-lieblingsresultat-froenen,sub
4:3 i.E. gegen Luzern,Celar pflückt Lugano den Cup-Final vom Tessiner Himmel,2022-04-21 23:01:00+00:00,Der FC Lugano bodigt den FC Luzern im Cup-Halbfinal zuhause im Elf … Denn Celar war gegen Luzern einmal mehr in Torlaune. Bereits in den 4 Duellen …,https://www.srf.ch/sport/fussball/schweizer-cup/4-3-i-e-gegen-luzern-celar-pflueckt-lugano-den-cup-final-vom-tessiner-himmel,https://www.srf.ch/sport/fussball/schweizer-cup/4-3-i-e-gegen-luzern-celar-pflueckt-lugano-den-cup-final-vom-tessiner-himmel,sub
Der Titelverteidiger in Lugano,Luzern will mit Schub und Jokern in den Cupfinal einziehen,2022-04-21 12:11:00+00:00,Beim FC Luzern ist einen Monat vor Saisonende noch alles möglich – vom Cupsieg … Das Cup-Halbfinalspiel zwischen Lugano und Luzern sehen Sie am Donnerstag …,https://www.srf.ch/sport/fussball/schweizer-cup/der-titelverteidiger-in-lugano-luzern-will-mit-schub-und-jokern-in-den-cupfinal-einziehen,https://www.srf.ch/sport/fussball/schweizer-cup/der-titelverteidiger-in-lugano-luzern-will-mit-schub-und-jokern-in-den-cupfinal-einziehen,sub
Später 3:2-Heimsieg,Weil Fricks Joker stechen: Luzern beendet St. Gallens Höhenflug,2022-04-18 16:35:00+00:00,"Luzern fügt St. Gallen in der 30. Runde der Super League die erste Niederlage in … Es wäre ein schmeichelhafter Sieg für die Gäste gewesen, war doch Luzern ebenbürtig gewesen und …",https://www.srf.ch/sport/fussball/super-league/spaeter-3-2-heimsieg-weil-fricks-joker-stechen-luzern-beendet-st-gallens-hoehenflug,https://www.srf.ch/sport/fussball/super-league/spaeter-3-2-heimsieg-weil-fricks-joker-stechen-luzern-beendet-st-gallens-hoehenflug,sub
FCSG zu Gast beim Angstgegner,Stoppt der FC Luzern die St. Galler Ungeschlagenheit?,2022-04-18 09:19:00+00:00,"… Bein stellen kann, dann wohl der FC Luzern. Vor heimischem Publikum feierten die Innerschweizer … sich für viele Fans erst drei Tage nach dem Duell mit Luzern am Ostermontag.",https://www.srf.ch/sport/fussball/super-league/fcsg-zu-gast-beim-angstgegner-stoppt-der-fc-luzern-die-st-galler-ungeschlagenheit,https://www.srf.ch/sport/fussball/super-league/fcsg-zu-gast-beim-angstgegner-stoppt-der-fc-luzern-die-st-galler-ungeschlagenheit,sub
Und doch ist niemand happy,Spektakel im Letzigrund: GC zittert sich gegen Luzern zum Remis,2022-04-09 22:44:00+00:00,GC und Luzern machen in der 29. Super-League-Runde keinen Sieger untere … Der Anschlusstreffer war hochverdient und diente als weitere Motivationsspritze für Luzern.,https://www.srf.ch/sport/fussball/super-league/und-doch-ist-niemand-happy-spektakel-im-letzigrund-gc-zittert-sich-gegen-luzern-zum-remis,https://www.srf.ch/sport/fussball/super-league/und-doch-ist-niemand-happy-spektakel-im-letzigrund-gc-zittert-sich-gegen-luzern-zum-remis,sub
Luzern zu Gast im Letzigrund,"Ein idealer Zeitpunkt für GC, endlich 3 Punkte zu holen, nur ...",2022-04-09 12:21:00+00:00,"Die Grasshoppers warten seit fast 2 Monaten auf einen Dreier. Holen Sie diesen gegen Luzern … Nein, Luzern ist nicht gerade der Lieblingsgegner der Grasshoppers. Der letzte GC-Sieg …",https://www.srf.ch/sport/fussball/super-league/luzern-zu-gast-im-letzigrund-ein-idealer-zeitpunkt-fuer-gc-endlich-3-punkte-zu-holen-nur,https://www.srf.ch/sport/fussball/super-league/luzern-zu-gast-im-letzigrund-ein-idealer-zeitpunkt-fuer-gc-endlich-3-punkte-zu-holen-nur,sub
Ausstellung in Luzern,Diese Knet-Kreaturen knöpfen sich unsere Abgründe vor,2022-04-07 15:06:00+00:00,"Das Kunstmuseum Luzern zeigt ein Labyrinth aus Himmel und Hölle – mit merkwürdigen Mischwesen in … Sound versehen. Während sich im Kunstmuseum Luzern die Kompositionen überlagern, sieht man jeweils nur …",https://www.srf.ch/kultur/kunst/ausstellung-in-luzern-diese-knet-kreaturen-knoepfen-sich-unsere-abgruende-vor,https://www.srf.ch/kultur/kunst/ausstellung-in-luzern-diese-knet-kreaturen-knoepfen-sich-unsere-abgruende-vor,sub
«Schweinekanton» Luzern,Soja statt Säue: Luzerner Bauern sollen weg von der Tierhaltung,2022-04-04 10:08:00+00:00,Intensive Tierhaltung ist schlecht fürs Klima. Der «Tierkanton» Luzern fördert deshalb die … Nicht ohne Grund gilt der Kanton Luzern als «Schweinekanton». Denn mit 420'000 Tieren …,https://www.srf.ch/news/schweiz/schweinekanton-luzern-soja-statt-saeue-luzerner-bauern-sollen-weg-von-der-tierhaltung,https://www.srf.ch/news/schweiz/schweinekanton-luzern-soja-statt-saeue-luzerner-bauern-sollen-weg-von-der-tierhaltung,sub
28. Runde der Super League,Grosse Moral: Luzern kämpft sich gegen Lugano zurück,2022-04-03 16:28:00+00:00,Luzern und Lugano trennen sich in der 28. Runde der Super League 2:2 unentschieden … zwischen dem FC Lugano und dem FC Luzern. Am Sonntag trafen sich die beiden …,https://www.srf.ch/sport/fussball/super-league/28-runde-der-super-league-grosse-moral-luzern-kaempft-sich-gegen-lugano-zurueck,https://www.srf.ch/sport/fussball/super-league/28-runde-der-super-league-grosse-moral-luzern-kaempft-sich-gegen-lugano-zurueck,sub
FCSG weiter «Team der Stunde»,Vom 0:2 zum 3:2: St. Gallen dreht verrücktes Spiel gegen Luzern,2022-03-19 20:16:00+00:00,"… einen spektakulären 3:2-Erfolg über Luzern. Die Ostschweizer liegen nach einem Fehl … treiben konnte, dann war dies der FC Luzern. Denn auch wenn die Innerschweizer der …",https://www.srf.ch/sport/fussball/super-league/fcsg-weiter-team-der-stunde-vom-0-2-zum-3-2-st-gallen-dreht-verruecktes-spiel-gegen-luzern,https://www.srf.ch/sport/fussball/super-league/fcsg-weiter-team-der-stunde-vom-0-2-zum-3-2-st-gallen-dreht-verruecktes-spiel-gegen-luzern,sub
Endstation Verkehrshaus,Wie Max Frischs Jaguar in Luzern landete,2022-03-15 10:01:00+00:00,… 1967. Das Auto kam auf Umwegen nach Luzern: Frisch schenkte es dem Filmregisseur Volker …,https://www.srf.ch/kultur/literatur/endstation-verkehrshaus-wie-max-frischs-jaguar-in-luzern-landete,https://www.srf.ch/kultur/literatur/endstation-verkehrshaus-wie-max-frischs-jaguar-in-luzern-landete,sub
News aus der Super League,Luzern wochenlang ohne Kvasina,2022-03-15 09:37:00+00:00,Der FC Luzern muss mehrere Wochen auf seinen Angreifer Marko Kvasina verzichten. Der …,https://www.srf.ch/sport/fussball/super-league/news-aus-der-super-league-luzern-wochenlang-ohne-kvasina,https://www.srf.ch/sport/fussball/super-league/news-aus-der-super-league-luzern-wochenlang-ohne-kvasina,sub
Eigentor in der 2. Minute,Luzern feiert wichtigen Sieg gegen schwaches GC,2022-03-13 18:26:00+00:00,"GC unterliegt Luzern in der 26. Runde der Super League auswärts mit 0:1 … Das Eigentor des Brasilianers blieb der einzige Treffer in einer Partie, die Luzern durch …",https://www.srf.ch/sport/fussball/super-league/eigentor-in-der-2-minute-luzern-feiert-wichtigen-sieg-gegen-schwaches-gc,https://www.srf.ch/sport/fussball/super-league/eigentor-in-der-2-minute-luzern-feiert-wichtigen-sieg-gegen-schwaches-gc,sub
Musikhochschule Luzern,Mit Musik gegen den Krieg anspielen,2022-03-13 12:02:00+00:00,"In Luzern spielen Musikerinnen und Musiker aus Russland, Belarus und der Ukraine zusammen, um … Eigentlich ist es ganz normal, dass an der Hochschule Musik in Luzern Studentinnen und Studenten …",https://www.srf.ch/news/schweiz/musikhochschule-luzern-mit-musik-gegen-den-krieg-anspielen,https://www.srf.ch/news/schweiz/musikhochschule-luzern-mit-musik-gegen-den-krieg-anspielen,sub
2:2 im Wankdorf,Luzerner Gewaltsschuss bringt YB um den Sieg,2022-03-05 20:01:00+00:00,Die Young Boys kommen in der 25. Super-League-Runde zuhause gegen Luzern … und kamen selbst kaum zu Chancen. Die Luzerner ihrerseits lange auch nicht zu zwingenden …,https://www.srf.ch/sport/fussball/super-league/2-2-im-wankdorf-luzerner-gewaltsschuss-bringt-yb-um-den-sieg,https://www.srf.ch/sport/fussball/super-league/2-2-im-wankdorf-luzerner-gewaltsschuss-bringt-yb-um-den-sieg,sub
Vorschau YB-Luzern ,Finden die Young Boys gegen Luzern zum Selbstvertrauen zurück?,2022-03-05 09:17:00+00:00,In der 25. Super-League-Runde gastiert Luzern im Berner Wankdorf. 3 … zuhause gegen den Tabellenvorletzten aus Luzern wettzumachen. 3 Fragen sind im Vorfeld …,https://www.srf.ch/sport/fussball/super-league/vorschau-yb-luzern-finden-die-young-boys-gegen-luzern-zum-selbstvertrauen-zurueck,https://www.srf.ch/sport/fussball/super-league/vorschau-yb-luzern-finden-die-young-boys-gegen-luzern-zum-selbstvertrauen-zurueck,sub
2:0-Sieg in Luzern,Der FCZ marschiert weiter unaufhaltsam Richtung Titel,2022-03-02 22:25:00+00:00,"Der FC Zürich feiert in der 24. Runde der Super League auswärts gegen Luzern einen … Mal beim Vorletzten der Tabelle in Luzern, distanzieren die Stadtzürcher die Gegner im …",https://www.srf.ch/sport/fussball/super-league/2-0-sieg-in-luzern-der-fcz-marschiert-weiter-unaufhaltsam-richtung-titel,https://www.srf.ch/sport/fussball/super-league/2-0-sieg-in-luzern-der-fcz-marschiert-weiter-unaufhaltsam-richtung-titel,sub
FCL fordert Leader FCZ,Formstark: Luzerner Aufwärtstrend im Abstiegskampf,2022-03-02 09:35:00+00:00,Die Lage des FC Luzern ist weiterhin bedrohlich. Zuletzt lief es den Innerschweizern … Am 21. Dezember stellte der FC Luzern Mario Frick als neuen Trainer vor. Der Liechtensteiner …,https://www.srf.ch/sport/fussball/super-league/fcl-fordert-leader-fcz-formstark-luzerner-aufwaertstrend-im-abstiegskampf,https://www.srf.ch/sport/fussball/super-league/fcl-fordert-leader-fcz-formstark-luzerner-aufwaertstrend-im-abstiegskampf,sub
Chaoten provozieren Unterbruch,Luzerns Abubakar markiert im Kellerduell den Chef,2022-02-27 18:45:00+00:00,Luzern schlägt Lausanne in der 23. Runde der Super League auswärts mit 2:1 … und damit einen frühen Schock hinnehmen: Luzerns Mohamed Dräger nutzte die inexistente Störarbeit …,https://www.srf.ch/sport/fussball/super-league/chaoten-provozieren-unterbruch-luzerns-abubakar-markiert-im-kellerduell-den-chef,https://www.srf.ch/sport/fussball/super-league/chaoten-provozieren-unterbruch-luzerns-abubakar-markiert-im-kellerduell-den-chef,sub
Grossanlass Luzerner Fasnacht,Luzern rüstet sich für den Grossansturm der Fasnächtler,2022-02-23 15:03:00+00:00,Die Luzerner Fasnacht ist der erste Grossanlass seit den Corona-Lockerungen. Der Menschen … über dem Seebecken in der Stadt Luzern der Urknall. Es wird auf dem Kapell …,https://www.srf.ch/news/schweiz/grossanlass-luzerner-fasnacht-luzern-ruestet-sich-fuer-den-grossansturm-der-fasnaechtler,https://www.srf.ch/news/schweiz/grossanlass-luzerner-fasnacht-luzern-ruestet-sich-fuer-den-grossansturm-der-fasnaechtler,sub
Spiel mit wenig Lichtblicken,Luzern erzielt das 1:1 gegen Servette spät und holt einen Punkt,2022-02-20 18:37:00+00:00,Servette und Luzern teilen sich in der 22. Runde der Super League die Punkte. Die … Valls' Steilpass am schnellsten und liess Luzern-Keeper Marius Müller mit einem Schuss …,https://www.srf.ch/sport/fussball/super-league/spiel-mit-wenig-lichtblicken-luzern-erzielt-das-1-1-gegen-servette-spaet-und-holt-einen-punkt,https://www.srf.ch/sport/fussball/super-league/spiel-mit-wenig-lichtblicken-luzern-erzielt-das-1-1-gegen-servette-spaet-und-holt-einen-punkt,sub
Kanton Luzern,Kriens überwacht seine Schulkinder bald per GPS,2022-02-18 12:10:00+00:00,"Die Stadt Kriens in Luzern begegnet diesem Problem nun mit einer ungewöhnlichen Idee. Sie wird … sollen, daran tüftelt aktuell  der Verein «Labor Luzern». Die Stadt hat der öffentlichen Werkstatt für …",https://www.srf.ch/news/schweiz/kanton-luzern-kriens-ueberwacht-seine-schulkinder-bald-per-gps,https://www.srf.ch/news/schweiz/kanton-luzern-kriens-ueberwacht-seine-schulkinder-bald-per-gps,sub
Mit Umzügen und Tagwache,Luzerner Fasnacht findet ohne Einschränkungen statt,2022-02-16 17:26:00+00:00,Nach Aufhebung der Massnahmen wartet nächste Woche bereits das erste grosse Fest. Die Luzerner Fasnacht … Eine Woche nach Aufhebung der meisten Corona-Massnahmen steigt in Luzern die grösste Party …,https://www.srf.ch/news/schweiz/mit-umzuegen-und-tagwache-luzerner-fasnacht-findet-ohne-einschraenkungen-statt,https://www.srf.ch/news/schweiz/mit-umzuegen-und-tagwache-luzerner-fasnacht-findet-ohne-einschraenkungen-statt,sub
News aus der Super League,YB verstärkt sich mit Fernandes – neuer Stürmer für Luzern,2022-02-15 11:01:00+00:00,Der FC Luzern hat bis Saisonende leihweise den österreichischen Stürmer Marko Kvasina …,https://www.srf.ch/sport/fussball/super-league/news-aus-der-super-league-yb-verstaerkt-sich-mit-fernandes-neuer-stuermer-fuer-luzern,https://www.srf.ch/sport/fussball/super-league/news-aus-der-super-league-yb-verstaerkt-sich-mit-fernandes-neuer-stuermer-fuer-luzern,sub
1. Sieg seit Oktober 2021,Luzern beendet gegen Sion 112-tägige Durststrecke ,2022-02-13 18:33:00+00:00,Luzern besiegt Sion in der 21. Runde der Super League zuhause mit 1:0 und … Nach knapp einer Stunde belohnte sich der FC Luzern endlich für seine aufopferungs …,https://www.srf.ch/sport/fussball/super-league/1-sieg-seit-oktober-2021-luzern-beendet-gegen-sion-112-taegige-durststrecke,https://www.srf.ch/sport/fussball/super-league/1-sieg-seit-oktober-2021-luzern-beendet-gegen-sion-112-taegige-durststrecke,sub
Abstimmung Stadt Luzern,Stadt Luzern lehnt unterirdische Velostation ab,2022-02-12 19:34:00+00:00,"Überraschung in der Stadt Luzern: Nein zur unterirdischen Velostation. Die Stimmbevölkerung lehnt sie mit … Rückschlag für die Veloförderung in der Stadt Luzern», sagt Marta Lehmann vom Verkehrsclub VCS …",https://www.srf.ch/news/abstimmungen-13-februar-2022/abstimmung-stadt-luzern-stadt-luzern-lehnt-unterirdische-velostation-ab,https://www.srf.ch/news/abstimmungen-13-februar-2022/abstimmung-stadt-luzern-stadt-luzern-lehnt-unterirdische-velostation-ab,sub
Abstimmung Kanton Luzern,Deutliches Ja zur Finanzspritze für das Kantonsspital Luzern,2022-02-12 19:23:00+00:00,In Form von Dividenden profitieren soll davon auch der Aktionär Kanton Luzern. Das Kantons …,https://www.srf.ch/news/abstimmungen-13-februar-2022/abstimmung-kanton-luzern-deutliches-ja-zur-finanzspritze-fuer-das-kantonsspital-luzern,https://www.srf.ch/news/abstimmungen-13-februar-2022/abstimmung-kanton-luzern-deutliches-ja-zur-finanzspritze-fuer-das-kantonsspital-luzern,sub
Auslosung Cup-Halbfinals,Titelverteidiger Luzern reist ins Tessin – FCSG zu Yverdon,2022-02-10 20:51:00+00:00,"… zwischen dem FC Lugano und Titelverteidiger Luzern. Im anderen Duell kämpfen Yverdon aus der … Voser hat ergeben, dass sich Titelverteidiger Luzern und der unterlegene Finalist St. Gallen im …",https://www.srf.ch/sport/fussball/schweizer-cup/auslosung-cup-halbfinals-titelverteidiger-luzern-reist-ins-tessin-fcsg-zu-yverdon,https://www.srf.ch/sport/fussball/schweizer-cup/auslosung-cup-halbfinals-titelverteidiger-luzern-reist-ins-tessin-fcsg-zu-yverdon,sub
Kantonsspital Luzern,«Bei der Omikron-Welle könnte man von einem Swiss-Paradox reden»,2022-02-10 10:23:00+00:00,SRF News: Im Kantonsspital Luzern haben Sie im Dezember noch mit Engpässen gerechnet und … auf die Beine kommen. Das Kantonsspital Luzern hat bereits letztes Jahr eine Sprechstunde für …,https://www.srf.ch/news/schweiz/kantonsspital-luzern-bei-der-omikron-welle-koennte-man-von-einem-swiss-paradox-reden,https://www.srf.ch/news/schweiz/kantonsspital-luzern-bei-der-omikron-welle-koennte-man-von-einem-swiss-paradox-reden,sub
5:0-Sieg in Biel,Luzern schiesst sich im Cup den Frust von der Seele,2022-02-09 22:23:00+00:00,"Titelverteidiger Luzern gewinnt den Cup-Viertelfinal gegen den FC Biel ungefährdet mit … Affolter, der von 2014 bis 2017 für Luzern gekickt hatte, sein Team noch selbst: Nach …",https://www.srf.ch/sport/fussball/schweizer-cup/5-0-sieg-in-biel-luzern-schiesst-sich-im-cup-den-frust-von-der-seele,https://www.srf.ch/sport/fussball/schweizer-cup/5-0-sieg-in-biel-luzern-schiesst-sich-im-cup-den-frust-von-der-seele,sub
Viertelfinal in Biel,Im Cup soll beim FC Luzern der berühmte Knoten platzen,2022-02-09 10:44:00+00:00,"«Endlich wieder Cup!», wird man sich in der Innerschweiz denken. Der FC Luzern trifft … Verfolgen Sie den Cup-Viertelfinal zwischen Biel und Luzern am Mittwoch ab 20 …",https://www.srf.ch/sport/fussball/schweizer-cup/viertelfinal-in-biel-im-cup-soll-beim-fc-luzern-der-beruehmte-knoten-platzen,https://www.srf.ch/sport/fussball/schweizer-cup/viertelfinal-in-biel-im-cup-soll-beim-fc-luzern-der-beruehmte-knoten-platzen,sub
1:2 in Lugano,Luzern verliert auch 2. Spiel unter Frick,2022-02-06 18:29:00+00:00,"Lugano schlägt den FC Luzern in der 20. Super-League-Runde zuhause mit … nur noch 3 Punkten Rückstand auf YB. Luzern bleibt das Liga-Schlusslicht, einen …",https://www.srf.ch/sport/fussball/super-league/1-2-in-lugano-luzern-verliert-auch-2-spiel-unter-frick,https://www.srf.ch/sport/fussball/super-league/1-2-in-lugano-luzern-verliert-auch-2-spiel-unter-frick,sub
Weniger Corona-Massnahmen,Gute Chancen für eine ganz normale Luzerner Fasnacht,2022-02-03 11:14:00+00:00,Nach den Vorschlägen des Bundesrates will der Luzerner Gesundheitsdirektor die Fasnacht mit … Die Luzerner Fasnacht kommt bald. Am 24. Februar ist Schmutziger Donnerstag und damit Start …,https://www.srf.ch/news/schweiz/weniger-corona-massnahmen-gute-chancen-fuer-eine-ganz-normale-luzerner-fasnacht,https://www.srf.ch/news/schweiz/weniger-corona-massnahmen-gute-chancen-fuer-eine-ganz-normale-luzerner-fasnacht,sub
News aus der Super League,"FC Luzern: Domgjoni geht, Dräger kommt",2022-02-02 11:55:00+00:00,"David Nue Domgjonas, bekannt als David Domgjoni, wechselt per sofort vom FC Luzern zu Bruk …",https://www.srf.ch/sport/fussball/super-league/news-aus-der-super-league-fc-luzern-domgjoni-geht-draeger-kommt,https://www.srf.ch/sport/fussball/super-league/news-aus-der-super-league-fc-luzern-domgjoni-geht-draeger-kommt,sub
Öffentlichkeitsgesetz,Luzern will nicht länger die Dunkelkammer der Nation sein,2022-02-01 17:04:00+00:00,In den meisten Kantonen gilt das Öffentlichkeitsprinzip. Luzern setzt auf Geheimhaltung – doch … meisten Kantone folgten nach. Nur einer hat sich bis heute standhaft dagegen gewehrt: Luzern.,https://www.srf.ch/news/schweiz/oeffentlichkeitsgesetz-luzern-will-nicht-laenger-die-dunkelkammer-der-nation-sein,https://www.srf.ch/news/schweiz/oeffentlichkeitsgesetz-luzern-will-nicht-laenger-die-dunkelkammer-der-nation-sein,sub
